t01,exxEng01AVG,StressEng01AVG,eyyEng01AVG,0,exxHencky01SOI,StressTrue01AVG,SR0Hencky1AVG,eyyHencky01AVG,t02,exxEng02AVG,StressEng02AVG,eyyEng02AVG,0,exxHencky02SOI,StressTrue02AVG,SR0Hencky2AVG,eyyHencky02AVG,t03,exxEng03AVG,StressEng03AVG,eyyEng03AVG,0,exxHencky03SOI,StressTrue03AVG,SR0Hencky3AVG,eyyHencky03AVG
0,0,0,0,0,0,0,0,0.000258578,0,0,0,0,0,0,0,0,0.00020826,0,0,0,0,0,0,0,0,0.000175007
0.2013,0.000131229757,0.122666667,0,0,0.2013,0.000149449,0.122682764,0.000636691,0.201,0.000135609641,0.148583333,0,0,0.201,0.000137143276,0.148603483,0.000106422,0.2013,0.000156623091,0.170791667,0,0,0.2013,0.00015607054,0.170818417,0.000790866
0.4027,0.000237452757,0.221958333,0,0,0.4027,0.000256396,0.222011038,0.000613536,0.403,0.000288940564,0.316583333,0,0,0.403,0.000292253047,0.316674807,0.000801063,0.4026,0.000296892271,0.32375,0,0,0.4026,0.000295886355,0.323846119,0.000935152
0.604,0.000378969757,0.374916667,-0.000116429897,0,0.604,0.00039652,0.375058749,0.000940305,0.604,0.000497945215,0.545583333,0,0,0.604,0.000503759013,0.545855004,0.00138571,0.6039,0.000478963271,0.522291667,0,0,0.6039,0.000477427355,0.522541825,0.000880065
0.8053,0.000618220757,0.57475,-0.000168479897,0,0.8053,0.000634962,0.575105322,0.000971954,0.805,0.000719423215,0.78825,0,0,0.805,0.000727984013,0.788817085,0.00125614,0.8053,0.000649947271,0.751625,-0.000206330492,0,0.8053,0.000650288355,0.752113517,0.000912763
1.0066,0.000771577757,0.796333333,-0.000221442897,0,1.0066,0.000787829,0.796947766,0.00100916,1.007,0.00100513821,1.03358333,-0.000413894314,0,1.007,0.00100959801,1.03462223,0.00195473,1.0066,0.000845938271,0.992041667,-0.000122631492,0,1.0066,0.000844995355,0.992880873,0.000949575
1.208,0.00102390276,1.02895833,-0.000417887897,0,1.208,0.001041351,1.03001189,0.000978663,1.208,0.00150915921,1.280375,-0.000404762314,0,1.208,0.00151517701,1.28230729,0.000886014,1.2079,0.00103424627,1.23429167,-0.000360658492,0,1.2079,0.00103258535,1.23556823,0.00101365
1.4093,0.00116555276,1.26591667,-0.000428811897,0,1.4093,0.001181941,1.26739216,0.000772625,1.409,0.00136173921,1.52770833,-0.000646445314,0,1.409,0.00136630701,1.52978867,-2.51e-05,1.4092,0.00125367627,1.47808333,-0.000457733492,0,1.4092,0.00125309535,1.47993637,0.00100527
1.6106,0.00133923276,1.50883333,-0.000539920897,0,1.6106,0.001352411,1.51085401,0.000892311,1.577,0.00149921921,1.748875,-0.000701675314,0,1.577,0.00150590701,1.75149695,0.000649324,1.6106,0.00143855627,1.72058333,-0.000535702492,0,1.6106,0.00143741535,1.72305849,0.000890448
1.8119,0.00152548276,1.77641667,-0.000553323897,0,1.8119,0.001541181,1.77912656,0.00105461,1.778,0.00159948921,1.99491667,-0.000755882314,0,1.778,0.00160598701,1.99810751,0.000725451,1.8119,0.00161292627,1.98958333,-0.000630156492,0,1.8119,0.00161167535,1.99279238,0.00101314
2.0133,0.00175955276,2.02033333,-0.000665448897,0,2.0133,0.001777101,2.02388822,0.00118265,1.98,0.00179179921,2.2435,-0.000985126314,0,1.98,0.00179797701,2.2475199,0.00112075,2.0468,0.00188157627,2.25429167,-0.000710650492,0,2.0468,0.00187934535,2.25853329,0.0011024
2.2146,0.00200186276,2.26475,-0.000841162897,0,2.2146,0.002017431,2.26928372,0.000889896,2.181,0.00205191921,2.48829167,-0.000917534314,0,2.181,0.00205730701,2.49339744,0.00115447,2.2145,0.00205748627,2.47283333,-0.000787513492,0,2.2145,0.00205550535,2.47792115,0.00100456
2.4159,0.00212086276,2.507375,-0.000869256897,0,2.4159,0.002135371,2.5126928,0.000856362,2.382,0.00225791921,2.73433333,-0.000961479314,0,2.382,0.00226287701,2.74050724,0.00114677,2.4159,0.00225283627,2.71358333,-0.000816438492,0,2.4159,0.00225012535,2.71969659,0.00102869
2.6172,0.00234635276,2.75208333,-0.000987920897,0,2.6172,0.002362201,2.75854069,0.00109772,2.584,0.00251563921,2.97875,-0.00112012631,0,2.584,0.00251899701,2.98624346,0.000808738,2.6172,0.00247228627,2.95441667,-0.000876983492,0,2.6172,0.00246975535,2.96172083,0.000982791
2.8186,0.00256433276,2.99229167,-0.0010379909,0,2.8186,0.002577421,2.9999649,0.000825305,2.785,0.00258496921,3.221,-0.00124113631,0,2.785,0.00258846701,3.22932619,0.00104848,2.8185,0.00264999627,3.19279167,-0.00104145349,0,2.8185,0.00264579535,3.20125255,0.000915642
3.0199,0.00268067276,3.23475,-0.0010516109,0,3.0199,0.002694551,3.24342131,0.0010725,2.986,0.00293645921,3.46216667,-0.00125624631,0,2.986,0.00294121701,3.47233318,0.001471,3.0199,0.00284346627,3.43008333,-0.00107159349,0,3.0199,0.00283848535,3.43983666,0.00100255
3.2212,0.00299540276,3.47454167,-0.0010783109,0,3.2212,0.003009211,3.48494932,0.00107226,3.188,0.00317865921,3.70554167,-0.00143785631,0,3.188,0.00318083701,3.71732032,0.000961833,3.2212,0.00305427627,3.666375,-0.00115832349,0,3.2212,0.00304953535,3.67757312,0.00100291
3.4226,0.00311375276,3.71383333,-0.0011755009,0,3.4226,0.003126351,3.72539729,0.00052876,3.389,0.00332653921,3.9455,-0.00138798631,0,3.389,0.00332845701,3.95862486,0.000687631,3.4225,0.00324783627,3.90491667,-0.00123409349,0,3.4225,0.00324226535,3.9175992,0.000959419
3.6239,0.00320933276,3.95320833,-0.0014030809,0,3.6239,0.003222151,3.96589549,0.00110143,3.59,0.00345475921,4.18495833,-0.00153009631,0,3.59,0.00345775701,4.19941636,0.000772771,3.6238,0.00344365627,4.14145833,-0.00139275349,0,3.6238,0.00343578535,4.15572009,0.000888313
3.7917,0.00352208276,4.16916667,-0.0014006709,0,3.7917,0.003532891,4.18385082,0.00117748,3.792,0.00363530921,4.449,-0.00159314631,0,3.792,0.00363963701,4.46517349,0.000871261,3.8252,0.00360732627,4.37570833,-0.00152708349,0,3.8252,0.00359998535,4.39149294,0.00104357
3.993,0.00364717276,4.40495833,-0.0015135309,0,3.993,0.003656751,4.42102398,0.00109011,3.993,0.00380783921,4.68841667,-0.00171090631,0,3.993,0.00380851701,4.7062694,0.00111003,4.0265,0.00386428627,4.61070833,-0.00149664349,0,4.0265,0.00385603535,4.62852543,0.00109198
4.1943,0.00396163276,4.64075,-0.0016935009,0,4.1943,0.003971761,4.65913495,0.0010982,4.194,0.00408449921,4.92666667,-0.00180051631,0,4.194,0.00408654701,4.94678963,0.00124635,4.2278,0.00404744627,4.84370833,-0.00164122349,0,4.2278,0.00403961535,4.86331298,0.000959488
