t,TMean01,TMean02,TMean03
1,40.25,40.25,40.35
2,40.25,40.25,40.3
3,40.3,40.25,40.3
4,40.3,40.25,40.3
5,40.3,40.25,40.3
6,40.3,40.25,40.35
7,40.25,40.35,40.4
8,40.25,40.35,40.4
9,40.25,40.25,40.4
10,40.25,40.25,40.4
11,40.2,40.25,40.4
12,40.2,40.25,40.4
13,40.2,40.3,40.4
14,40.25,40.3,40.35
15,40.25,40.3,40.4
16,40.3,40.3,40.45
17,40.3,40.4,40.45
18,40.35,40.4,40.4
19,40.65,40.4,40.45
20,40.65,40.4,40.45
21,40.65,40.35,40.4
22,40.65,40.35,40.4
23,40.65,40.35,40.4
24,40.65,40.45,40.4
25,40.55,40.5,40.4
26,40.55,40.5,40.4
27,40.55,40.4,40.4
28,40.55,40.5,40.4
29,40.65,40.55,40.4
30,40.65,40.55,40.4
31,40.55,40.6,40.4
32,40.55,40.6,40.4
33,40.55,40.9,40.35
34,40.55,40.85,40.35
35,40.25,40.85,40.4
36,40.1,40.85,40.35
37,39.9,40.8,40.35
38,40,40.75,40.3
39,40.05,40.75,40.35
40,40.2,40.35,40.35
41,40.2,40.45,40.25
42,40.1,40.6,40.25
43,40.1,40.6,40.3
44,40.1,40.6,40.3
45,40.1,40.6,40.2
46,40.15,40.65,40.25
47,40.15,40.65,40.25
48,40.15,40.55,40.3
49,40.15,40.55,40.3
50,40.1,40.4,40.3
51,40.1,40.4,40.25
52,40.15,40.5,40.25
53,40.15,40.55,40.25
54,40.5,40.55,40.35
55,40.5,40.55,40.3
56,40.4,40.55,40.3
57,40.4,40.55,40.3
58,40.45,40.55,40.3
59,40.45,40.55,40.3
60,40.4,40.5,40.3
61,40.4,40.5,40.3
62,40.35,40.55,40.3
63,40.35,40.55,40.3
64,40.35,40.55,40.3
65,40.35,40.55,40.3
66,40.3,40.55,40.35
67,40.3,40.55,40.35
68,40.3,40.55,40.35
69,40.3,40.5,40.35
70,40.1,40.55,40.35
71,39.95,40.5,40.4
72,39.85,40.55,40.4
73,39.85,40.6,40.4
74,39.9,40.5,40.35
75,39.9,40.5,40.35
76,39.85,40.5,40.3
77,39.85,40.55,40.35
78,39.85,40.55,40.4
79,39.9,40.5,40.4
80,39.95,40.5,40.4
